date,open,high,low,close,adjusted_close,volume,ticker,Ticker
2024-11-05,5.2304,5.2384,5.213,5.2276,5.2276,43494,AMEM.XETRA,AMEM.XETRA
2024-11-06,5.2552,5.2652,5.2092,5.236,5.236,337102,AMEM.XETRA,AMEM.XETRA
2024-11-07,5.2994,5.3252,5.2916,5.3202,5.3202,152011,AMEM.XETRA,AMEM.XETRA
2024-11-08,5.3026,5.3026,5.2214,5.2304,5.2304,296692,AMEM.XETRA,AMEM.XETRA
2024-11-11,5.2662,5.2662,5.2334,5.234,5.234,275847,AMEM.XETRA,AMEM.XETRA
2024-11-12,5.1746,5.1808,5.149,5.1574,5.1574,74062,AMEM.XETRA,AMEM.XETRA
2024-11-13,5.1614,5.1694,5.1342,5.1452,5.1452,64178,AMEM.XETRA,AMEM.XETRA
2024-11-14,5.1296,5.1534,5.1296,5.1384,5.1384,292077,AMEM.XETRA,AMEM.XETRA
2024-11-15,5.1368,5.151,5.1208,5.1264,5.1264,103445,AMEM.XETRA,AMEM.XETRA
2024-11-18,5.1444,5.1622,5.1356,5.1622,5.1622,289035,AMEM.XETRA,AMEM.XETRA
2024-11-19,5.1894,5.1912,5.1362,5.1686,5.1686,50880,AMEM.XETRA,AMEM.XETRA
2024-11-20,5.1764,5.181,5.158,5.1644,5.1644,66409,AMEM.XETRA,AMEM.XETRA
2024-11-21,5.1534,5.1758,5.139,5.1758,5.1758,45174,AMEM.XETRA,AMEM.XETRA
2024-11-22,5.1764,5.2424,5.1764,5.2236,5.2236,308622,AMEM.XETRA,AMEM.XETRA
2024-11-25,5.2228,5.2228,5.1854,5.195,5.195,343216,AMEM.XETRA,AMEM.XETRA
2024-11-26,5.1708,5.1876,5.1652,5.183,5.183,132590,AMEM.XETRA,AMEM.XETRA
2024-11-27,5.192,5.195,5.1252,5.1254,5.1254,65847,AMEM.XETRA,AMEM.XETRA
2024-11-28,5.118,5.12,5.106,5.1078,5.1078,67092,AMEM.XETRA,AMEM.XETRA
2024-11-29,5.0904,5.1454,5.0904,5.1428,5.1428,132101,AMEM.XETRA,AMEM.XETRA
2024-12-02,5.1648,5.2112,5.1616,5.1896,5.1896,178946,AMEM.XETRA,AMEM.XETRA
2024-12-03,5.2176,5.2196,5.1618,5.1936,5.1936,102518,AMEM.XETRA,AMEM.XETRA
2024-12-04,5.2202,5.229,5.1936,5.2026,5.2026,229533,AMEM.XETRA,AMEM.XETRA
2024-12-05,5.2096,5.2244,5.2088,5.2224,5.2224,161155,AMEM.XETRA,AMEM.XETRA
2024-12-06,5.2202,5.231,5.215,5.215,5.215,56358,AMEM.XETRA,AMEM.XETRA
2024-12-09,5.2752,5.35,5.2704,5.3356,5.3356,392853,AMEM.XETRA,AMEM.XETRA
2024-12-10,5.251,5.2814,5.251,5.2664,5.2664,20311,AMEM.XETRA,AMEM.XETRA
2024-12-11,5.261,5.28,5.2562,5.2788,5.2788,27335,AMEM.XETRA,AMEM.XETRA
2024-12-12,5.3092,5.3224,5.2664,5.2744,5.2744,110920,AMEM.XETRA,AMEM.XETRA
2024-12-13,5.2806,5.2818,5.254,5.26,5.26,178430,AMEM.XETRA,AMEM.XETRA
2024-12-16,5.2484,5.267,5.2404,5.2406,5.2406,99292,AMEM.XETRA,AMEM.XETRA
2024-12-17,5.2128,5.2234,5.1924,5.2234,5.2234,154167,AMEM.XETRA,AMEM.XETRA
2024-12-18,5.241,5.2436,5.222,5.2326,5.2326,84173,AMEM.XETRA,AMEM.XETRA
2024-12-19,5.1974,5.2092,5.1892,5.204,5.204,170709,AMEM.XETRA,AMEM.XETRA
2024-12-20,5.1704,5.1936,5.1332,5.187,5.187,174557,AMEM.XETRA,AMEM.XETRA
2024-12-23,5.196,5.2046,5.1854,5.1976,5.1976,227554,AMEM.XETRA,AMEM.XETRA
2024-12-27,5.1738,5.1968,5.1632,5.1794,5.1794,377553,AMEM.XETRA,AMEM.XETRA
2024-12-30,5.1656,5.1674,5.1468,5.1468,5.1468,39638,AMEM.XETRA,AMEM.XETRA
2025-01-02,5.1608,5.2284,5.1576,5.2284,5.2284,263465,AMEM.XETRA,AMEM.XETRA
2025-01-03,5.2248,5.2322,5.2128,5.2278,5.2278,641807,AMEM.XETRA,AMEM.XETRA
2025-01-06,5.2204,5.2608,5.2136,5.2236,5.2236,371095,AMEM.XETRA,AMEM.XETRA
2025-01-07,5.1964,5.2196,5.1928,5.198,5.198,93304,AMEM.XETRA,AMEM.XETRA
2025-01-08,5.1782,5.202,5.1654,5.1802,5.1802,188336,AMEM.XETRA,AMEM.XETRA
2025-01-09,5.1702,5.1894,5.1686,5.1846,5.1846,64714,AMEM.XETRA,AMEM.XETRA
2025-01-10,5.1572,5.1598,5.107,5.1242,5.1242,353610,AMEM.XETRA,AMEM.XETRA
2025-01-13,5.1002,5.106,5.076,5.0902,5.0902,450126,AMEM.XETRA,AMEM.XETRA
2025-01-14,5.1406,5.1526,5.1058,5.1154,5.1154,64332,AMEM.XETRA,AMEM.XETRA
2025-01-15,5.1084,5.1764,5.1076,5.1762,5.1762,185543,AMEM.XETRA,AMEM.XETRA
2025-01-16,5.2276,5.231,5.191,5.191,5.191,285333,AMEM.XETRA,AMEM.XETRA
2025-01-17,5.1954,5.2404,5.1886,5.2356,5.2356,74563,AMEM.XETRA,AMEM.XETRA
2025-01-20,5.2444,5.2578,5.2184,5.2518,5.2518,54887,AMEM.XETRA,AMEM.XETRA
2025-01-21,5.2242,5.2364,5.198,5.2092,5.2092,110673,AMEM.XETRA,AMEM.XETRA
2025-01-22,5.1938,5.22,5.1938,5.2166,5.2166,372412,AMEM.XETRA,AMEM.XETRA
2025-01-23,5.217,5.2252,5.1992,5.2224,5.2224,114883,AMEM.XETRA,AMEM.XETRA
2025-01-24,5.2252,5.2278,5.2,5.2206,5.2206,31443,AMEM.XETRA,AMEM.XETRA
2025-01-27,5.1446,5.1498,5.0868,5.1168,5.1168,165172,AMEM.XETRA,AMEM.XETRA
2025-01-28,5.1462,5.1646,5.1362,5.1446,5.1446,62553,AMEM.XETRA,AMEM.XETRA
2025-01-29,5.232,5.2538,5.2224,5.2268,5.2268,126299,AMEM.XETRA,AMEM.XETRA
2025-01-30,5.2224,5.2902,5.2216,5.2902,5.2902,132603,AMEM.XETRA,AMEM.XETRA
2025-01-31,5.3126,5.3258,5.2988,5.3012,5.3012,67671,AMEM.XETRA,AMEM.XETRA
2025-02-03,5.2382,5.2838,5.2224,5.2838,5.2838,205491,AMEM.XETRA,AMEM.XETRA
2025-02-04,5.2998,5.329,5.29,5.329,5.329,71918,AMEM.XETRA,AMEM.XETRA
2025-02-05,5.2814,5.2896,5.2624,5.282,5.282,107743,AMEM.XETRA,AMEM.XETRA
2025-02-06,5.2956,5.323,5.2956,5.317,5.317,28950,AMEM.XETRA,AMEM.XETRA
2025-02-07,5.3484,5.3692,5.3394,5.343,5.343,114143,AMEM.XETRA,AMEM.XETRA
2025-02-10,5.3726,5.4042,5.3726,5.3986,5.3986,156889,AMEM.XETRA,AMEM.XETRA
2025-02-11,5.3562,5.3818,5.3432,5.3742,5.3742,326390,AMEM.XETRA,AMEM.XETRA
2025-02-12,5.3784,5.383,5.347,5.3674,5.3674,300864,AMEM.XETRA,AMEM.XETRA
2025-02-13,5.349,5.3714,5.3348,5.3714,5.3714,121906,AMEM.XETRA,AMEM.XETRA
2025-02-14,5.3856,5.388,5.3658,5.3696,5.3696,40128,AMEM.XETRA,AMEM.XETRA
2025-02-17,5.4086,5.429,5.406,5.425,5.425,77553,AMEM.XETRA,AMEM.XETRA
2025-02-18,5.4492,5.4746,5.4492,5.4648,5.4648,292484,AMEM.XETRA,AMEM.XETRA
2025-02-19,5.4856,5.4946,5.4586,5.4746,5.4746,122108,AMEM.XETRA,AMEM.XETRA
2025-02-20,5.4532,5.5176,5.4478,5.4754,5.4754,93620,AMEM.XETRA,AMEM.XETRA
2025-02-21,5.5024,5.5328,5.5,5.5238,5.5238,106065,AMEM.XETRA,AMEM.XETRA
2025-02-24,5.4592,5.4666,5.3954,5.4036,5.4036,305234,AMEM.XETRA,AMEM.XETRA
2025-02-25,5.3872,5.3906,5.35,5.366,5.366,91176,AMEM.XETRA,AMEM.XETRA
2025-02-26,5.4474,5.4614,5.4376,5.4562,5.4562,392314,AMEM.XETRA,AMEM.XETRA
2025-02-27,5.4076,5.43,5.3814,5.4176,5.4176,44504,AMEM.XETRA,AMEM.XETRA
2025-02-28,5.278,5.2994,5.2514,5.2846,5.2846,73213,AMEM.XETRA,AMEM.XETRA
2025-03-03,5.3098,5.3098,5.25,5.276,5.276,204727,AMEM.XETRA,AMEM.XETRA
2025-03-04,5.2358,5.2398,5.1804,5.1916,5.1916,166384,AMEM.XETRA,AMEM.XETRA
2025-03-05,5.2508,5.2576,5.2008,5.2166,5.2166,151155,AMEM.XETRA,AMEM.XETRA
2025-03-06,5.2564,5.2652,5.2294,5.2408,5.2408,139305,AMEM.XETRA,AMEM.XETRA
2025-03-07,5.2386,5.2398,5.192,5.192,5.192,263458,AMEM.XETRA,AMEM.XETRA
2025-03-10,5.1926,5.1926,5.1144,5.1284,5.1284,165939,AMEM.XETRA,AMEM.XETRA
2025-03-11,5.1262,5.1444,5.0792,5.1006,5.1006,105958,AMEM.XETRA,AMEM.XETRA
2025-03-12,5.123,5.15,5.1028,5.1416,5.1416,124574,AMEM.XETRA,AMEM.XETRA
2025-03-13,5.1156,5.1484,5.1074,5.1418,5.1418,36978,AMEM.XETRA,AMEM.XETRA
2025-03-14,5.1858,5.2256,5.1858,5.2146,5.2146,134071,AMEM.XETRA,AMEM.XETRA
2025-03-17,5.2242,5.283,5.2192,5.283,5.283,140565,AMEM.XETRA,AMEM.XETRA
2025-03-18,5.2826,5.292,5.2596,5.2748,5.2748,184394,AMEM.XETRA,AMEM.XETRA
2025-03-19,5.2798,5.3052,5.2778,5.2962,5.2962,64511,AMEM.XETRA,AMEM.XETRA
2025-03-20,5.2846,5.2904,5.2574,5.266,5.266,76424,AMEM.XETRA,AMEM.XETRA
2025-03-21,5.2558,5.2602,5.232,5.2602,5.2602,53292,AMEM.XETRA,AMEM.XETRA
2025-03-24,5.2942,5.302,5.276,5.3002,5.3002,85131,AMEM.XETRA,AMEM.XETRA
2025-03-25,5.2696,5.2948,5.2616,5.283,5.283,89011,AMEM.XETRA,AMEM.XETRA
2025-03-26,5.2916,5.2932,5.2698,5.2698,5.2698,26282,AMEM.XETRA,AMEM.XETRA
2025-03-27,5.2832,5.3036,5.2616,5.2942,5.2942,644322,AMEM.XETRA,AMEM.XETRA
2025-03-28,5.2322,5.246,5.1698,5.1704,5.1704,202838,AMEM.XETRA,AMEM.XETRA
2025-03-31,5.1228,5.1434,5.1,5.1434,5.1434,106057,AMEM.XETRA,AMEM.XETRA
2025-04-01,5.187,5.196,5.148,5.1918,5.1918,169269,AMEM.XETRA,AMEM.XETRA
2025-04-02,5.1892,5.1974,5.1564,5.1614,5.1614,383783,AMEM.XETRA,AMEM.XETRA
2025-04-03,5.0442,5.0476,4.935,4.9829,4.9829,307186,AMEM.XETRA,AMEM.XETRA
2025-04-04,4.9551,4.9635,4.6824,4.7361,4.7361,1504236,AMEM.XETRA,AMEM.XETRA
2025-04-07,4.461,4.6577,4.43,4.5818,4.5818,327958,AMEM.XETRA,AMEM.XETRA
2025-04-08,4.617,4.6919,4.5934,4.6459,4.6459,457395,AMEM.XETRA,AMEM.XETRA
2025-04-09,4.5074,4.5743,4.4371,4.4621,4.4621,126205,AMEM.XETRA,AMEM.XETRA
2025-04-10,4.8097,4.8224,4.6125,4.6125,4.6125,362704,AMEM.XETRA,AMEM.XETRA
2025-04-11,4.6594,4.6701,4.579,4.6332,4.6332,130035,AMEM.XETRA,AMEM.XETRA
2025-04-14,4.6983,4.7733,4.6983,4.7397,4.7397,109395,AMEM.XETRA,AMEM.XETRA
2025-04-15,4.7588,4.7867,4.7435,4.7867,4.7867,300587,AMEM.XETRA,AMEM.XETRA
2025-04-16,4.6912,4.7341,4.688,4.7304,4.7304,226774,AMEM.XETRA,AMEM.XETRA
2025-04-17,4.7369,4.751,4.7217,4.7301,4.7301,263924,AMEM.XETRA,AMEM.XETRA
2025-04-22,4.7094,4.7469,4.7049,4.7442,4.7442,186862,AMEM.XETRA,AMEM.XETRA
2025-04-23,4.8458,4.9142,4.8338,4.8626,4.8626,314907,AMEM.XETRA,AMEM.XETRA
2025-04-24,4.8341,4.8889,4.8217,4.8889,4.8889,256451,AMEM.XETRA,AMEM.XETRA
2025-04-25,4.8857,4.8877,4.8555,4.8639,4.8639,234458,AMEM.XETRA,AMEM.XETRA
2025-04-28,4.8953,4.9114,4.8724,4.8724,4.8724,224502,AMEM.XETRA,AMEM.XETRA
2025-04-29,4.8923,4.9083,4.8876,4.8978,4.8978,87359,AMEM.XETRA,AMEM.XETRA
2025-04-30,4.9325,4.9493,4.8921,4.9193,4.9193,218388,AMEM.XETRA,AMEM.XETRA
2025-05-02,5.056,5.1008,5.0534,5.0684,5.0684,500495,AMEM.XETRA,AMEM.XETRA
2025-05-05,5.1004,5.1472,5.0996,5.1472,5.1472,394892,AMEM.XETRA,AMEM.XETRA
2025-05-06,5.0806,5.1068,5.0554,5.106,5.106,164743,AMEM.XETRA,AMEM.XETRA
2025-05-07,5.0592,5.063,5.035,5.042,5.042,187250,AMEM.XETRA,AMEM.XETRA
2025-05-08,5.0924,5.0924,5.046,5.0794,5.0794,230486,AMEM.XETRA,AMEM.XETRA
2025-05-09,5.1044,5.1326,5.1008,5.1056,5.1056,135499,AMEM.XETRA,AMEM.XETRA
2025-05-12,5.2986,5.3198,5.2668,5.2826,5.2826,130532,AMEM.XETRA,AMEM.XETRA
2025-05-13,5.2508,5.2766,5.2324,5.275,5.275,57404,AMEM.XETRA,AMEM.XETRA
2025-05-14,5.2898,5.317,5.278,5.317,5.317,206372,AMEM.XETRA,AMEM.XETRA
2025-05-15,5.276,5.302,5.2666,5.302,5.302,338362,AMEM.XETRA,AMEM.XETRA
2025-05-16,5.2982,5.3154,5.2942,5.3154,5.3154,70959,AMEM.XETRA,AMEM.XETRA
2025-05-19,5.2688,5.2824,5.2336,5.2824,5.2824,83016,AMEM.XETRA,AMEM.XETRA
2025-05-20,5.2666,5.2824,5.2556,5.2666,5.2666,130605,AMEM.XETRA,AMEM.XETRA
2025-05-21,5.2562,5.2732,5.2534,5.266,5.266,71995,AMEM.XETRA,AMEM.XETRA
2025-05-22,5.2236,5.2412,5.2086,5.2412,5.2412,106346,AMEM.XETRA,AMEM.XETRA
2025-05-23,5.237,5.2476,5.1888,5.2188,5.2188,232761,AMEM.XETRA,AMEM.XETRA
2025-05-26,5.2088,5.2212,5.2026,5.2212,5.2212,40850,AMEM.XETRA,AMEM.XETRA
2025-05-27,5.2008,5.2174,5.1904,5.2116,5.2116,71598,AMEM.XETRA,AMEM.XETRA
2025-05-28,5.2194,5.2224,5.2042,5.2068,5.2068,326380,AMEM.XETRA,AMEM.XETRA
2025-05-29,5.2666,5.2818,5.1906,5.1906,5.1906,116517,AMEM.XETRA,AMEM.XETRA
2025-05-30,5.173,5.1824,5.1314,5.1314,5.1314,195897,AMEM.XETRA,AMEM.XETRA
2025-06-02,5.1092,5.1314,5.0964,5.1162,5.1162,167530,AMEM.XETRA,AMEM.XETRA
2025-06-03,5.1408,5.1694,5.1352,5.1694,5.1694,33846,AMEM.XETRA,AMEM.XETRA
2025-06-04,5.2072,5.2336,5.2014,5.2202,5.2202,147391,AMEM.XETRA,AMEM.XETRA
2025-06-05,5.2496,5.265,5.22,5.2588,5.2588,98221,AMEM.XETRA,AMEM.XETRA
2025-06-06,5.2484,5.2746,5.2428,5.269,5.269,146038,AMEM.XETRA,AMEM.XETRA
2025-06-09,5.3034,5.3172,5.2996,5.316,5.316,203672,AMEM.XETRA,AMEM.XETRA
2025-06-10,5.3276,5.3368,5.3238,5.3248,5.3248,165056,AMEM.XETRA,AMEM.XETRA
2025-06-11,5.365,5.3792,5.3506,5.3552,5.3552,80988,AMEM.XETRA,AMEM.XETRA
2025-06-12,5.3242,5.329,5.2776,5.3044,5.3044,56528,AMEM.XETRA,AMEM.XETRA
2025-06-13,5.2246,5.2548,5.2218,5.2396,5.2396,142991,AMEM.XETRA,AMEM.XETRA
2025-06-16,5.2734,5.301,5.2616,5.2956,5.2956,269368,AMEM.XETRA,AMEM.XETRA
2025-06-17,5.262,5.2676,5.2484,5.2648,5.2648,23637,AMEM.XETRA,AMEM.XETRA
2025-06-18,5.263,5.263,5.245,5.248,5.248,214712,AMEM.XETRA,AMEM.XETRA
2025-06-19,5.2152,5.2152,5.186,5.186,5.186,41348,AMEM.XETRA,AMEM.XETRA
2025-06-20,5.2336,5.2628,5.2128,5.218,5.218,90081,AMEM.XETRA,AMEM.XETRA
2025-06-23,5.2094,5.2342,5.2094,5.2138,5.2138,83508,AMEM.XETRA,AMEM.XETRA
2025-06-24,5.3134,5.3284,5.2984,5.3284,5.3284,94325,AMEM.XETRA,AMEM.XETRA
2025-06-25,5.3566,5.3638,5.3318,5.3394,5.3394,62816,AMEM.XETRA,AMEM.XETRA
2025-06-26,5.3308,5.349,5.3244,5.3416,5.3416,94906,AMEM.XETRA,AMEM.XETRA
2025-06-27,5.3356,5.3368,5.313,5.3336,5.3336,151735,AMEM.XETRA,AMEM.XETRA
2025-06-30,5.3158,5.3164,5.3,5.3068,5.3068,53002,AMEM.XETRA,AMEM.XETRA
2025-07-01,5.3252,5.3258,5.304,5.313,5.313,389532,AMEM.XETRA,AMEM.XETRA
2025-07-02,5.3176,5.326,5.3032,5.3206,5.3206,64478,AMEM.XETRA,AMEM.XETRA
2025-07-03,5.34,5.3748,5.3318,5.3748,5.3748,57297,AMEM.XETRA,AMEM.XETRA
2025-07-04,5.3204,5.3204,5.3088,5.3162,5.3162,104440,AMEM.XETRA,AMEM.XETRA
2025-07-07,5.3122,5.3418,5.3074,5.3332,5.3332,121254,AMEM.XETRA,AMEM.XETRA
2025-07-08,5.3416,5.357,5.3396,5.3508,5.3508,93544,AMEM.XETRA,AMEM.XETRA
2025-07-09,5.3414,5.3548,5.3276,5.3356,5.3356,266636,AMEM.XETRA,AMEM.XETRA
2025-07-10,5.3526,5.3654,5.3484,5.3654,5.3654,310187,AMEM.XETRA,AMEM.XETRA
2025-07-11,5.3776,5.3796,5.3464,5.3478,5.3478,36442,AMEM.XETRA,AMEM.XETRA
2025-07-14,5.3588,5.363,5.3502,5.3564,5.3564,37421,AMEM.XETRA,AMEM.XETRA
2025-07-15,5.4124,5.4334,5.4108,5.4318,5.4318,354107,AMEM.XETRA,AMEM.XETRA
2025-07-16,5.4358,5.444,5.3928,5.3928,5.3928,84635,AMEM.XETRA,AMEM.XETRA
2025-07-17,5.4774,5.4934,5.4606,5.4934,5.4934,207419,AMEM.XETRA,AMEM.XETRA
2025-07-18,5.4828,5.4998,5.4762,5.479,5.479,86485,AMEM.XETRA,AMEM.XETRA
2025-07-21,5.489,5.4956,5.4774,5.4868,5.4868,82465,AMEM.XETRA,AMEM.XETRA
2025-07-22,5.4514,5.4646,5.438,5.4486,5.4486,55434,AMEM.XETRA,AMEM.XETRA
2025-07-23,5.485,5.5084,5.4804,5.503,5.503,89292,AMEM.XETRA,AMEM.XETRA
2025-07-24,5.5048,5.5078,5.4738,5.474,5.474,196185,AMEM.XETRA,AMEM.XETRA
2025-07-25,5.4496,5.4658,5.4458,5.4598,5.4598,181471,AMEM.XETRA,AMEM.XETRA
2025-07-28,5.4878,5.497,5.4804,5.497,5.497,112340,AMEM.XETRA,AMEM.XETRA
2025-07-29,5.5188,5.549,5.5186,5.5302,5.5302,143269,AMEM.XETRA,AMEM.XETRA
2025-07-30,5.5282,5.5578,5.5256,5.5342,5.5342,713585,AMEM.XETRA,AMEM.XETRA
2024-07-31,76.298,76.65,76.066,76.382,76.382,32745,DBXJ.XETRA,DBXJ.XETRA
2024-08-01,75.002,75.002,73.598,73.608,73.608,43386,DBXJ.XETRA,DBXJ.XETRA
2024-08-02,70.78,70.838,68.282,68.796,68.796,33241,DBXJ.XETRA,DBXJ.XETRA
2024-08-05,63.208,67.536,63.208,67.138,67.138,57198,DBXJ.XETRA,DBXJ.XETRA
2024-08-06,67.064,67.718,65.716,67.154,67.154,84726,DBXJ.XETRA,DBXJ.XETRA
